TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionFrequency,TransactionType_Encoded,TimeSinceLastTransaction,CustomerAge_Binned,TransactionAmount_Binned,CustomerAge_Binned_Encoded,TransactionAmount_Binned_Encoded,Target
0.33877906017381093,2023-04-11 16:29:14,1.0,36.0,0.0,0.8387096774193548,0.0,0.24482758620689654,0.0,0.33683185966818,2024-11-04 08:08:08,0.1935483870967742,0.0,0.728036382805127,Old,Very Low,1,4,1
0.777971021278398,2023-06-27 16:44:19,1.0,15.0,0.0,0.8064516129032258,0.0,0.45172413793103444,0.0,0.9180546275595326,2024-11-04 08:09:35,0.1935483870967742,0.0,0.5165309386431475,Old,High,1,0,2
0.6297366396919606,2023-07-10 18:16:08,1.0,23.0,2.0,0.016129032258064557,3.0,0.1586206896551724,0.0,0.06863734931174438,2024-11-04 08:07:04,0.12903225806451613,0.0,0.4806466970625979,Young,Medium,2,2,3
0.6811195836757602,2023-05-05 16:32:11,1.0,33.0,2.0,0.12903225806451613,3.0,0.05172413793103449,0.0,0.569197956003802,2024-11-04 08:09:06,0.22580645161290322,0.0,0.6621169299357051,Young,Medium,2,2,1
0.3328658790744709,2023-10-16 17:51:24,1.0,1.0,2.0,0.43029748107928134,3.0,0.6482758620689656,0.0,0.4925911187531677,2024-11-04 08:06:39,0.0967741935483871,0.0,0.21153742292553745,Middle-aged,Very Low,0,4,0
0.587131135306715,2023-04-03 17:15:01,1.0,28.0,0.0,0.0,3.0,0.5586206896551724,0.0,0.045737843102722775,2024-11-04 08:06:36,0.22580645161290322,0.0,0.7499180266038518,Young,Medium,2,2,3
0.2535507641707906,2023-02-15 16:36:48,1.0,39.0,0.0,0.30645161290322587,0.0,0.44482758620689655,0.0,0.8883303734554748,2024-11-04 08:10:09,0.0,0.0,0.8790825413529758,Young,Very Low,2,4,1
0.6711426070726405,2023-05-08 17:47:59,1.0,16.0,1.0,0.7903225806451613,2.0,0.9689655172413792,0.0,0.18115460779713835,2024-11-04 08:10:55,0.1935483870967742,0.0,0.6537363640851529,Old,Medium,1,2,2
0.6063376386715308,2023-03-21 16:59:46,1.0,11.0,1.0,0.532258064516129,1.0,0.26206896551724135,0.0,0.6045605421617909,2024-11-04 08:11:14,0.03225806451612903,0.0,0.7856602710305113,Middle-aged,Medium,0,2,2
0.8834022942448078,2023-03-31 16:06:57,1.0,26.0,0.0,0.5967741935483871,0.0,0.3793103448275862,0.0,0.06188385358620237,2024-11-04 08:06:32,0.1935483870967742,0.0,0.758287180549715,Middle-aged,Very High,0,3,3
0.36862752843999036,2023-03-14 16:46:10,1.0,0.0,2.0,0.5483870967741935,1.0,0.16896551724137931,0.0,0.5040264197666963,2024-11-04 08:06:45,0.1935483870967742,0.0,0.8049030628630333,Middle-aged,Very Low,0,4,0
0.685120559033568,2023-02-06 17:30:00,1.0,22.0,2.0,0.04838709677419356,3.0,0.5620689655172414,0.0,0.09595919536134934,2024-11-04 08:07:12,0.1935483870967742,0.0,0.9036938237468514,Young,Medium,2,2,3
0.8151828043012556,2023-06-07 17:21:28,1.0,23.0,1.0,0.09677419354838712,3.0,0.3482758620689655,0.0,0.10209024288923516,2024-11-04 08:08:38,0.06451612903225806,0.0,0.5713879962720264,Young,High,2,0,3
0.8775674127396477,2023-11-20 16:39:15,1.0,22.0,0.0,0.12903225806451613,3.0,0.3896551724137931,0.0,0.005944850820811549,2024-11-04 08:07:06,0.16129032258064516,0.0,0.11554887272156478,Young,Very High,2,3,3
0.6675911246739415,2023-02-13 16:53:57,1.0,21.0,2.0,0.0,3.0,0.4275862068965517,0.0,0.013355076448200345,2024-11-04 08:10:09,0.12903225806451613,0.0,0.8845428039723727,Young,Medium,2,2,3
0.8069338388129677,2023-12-12 16:23:31,1.0,10.0,0.0,0.29032258064516125,1.0,0.4103448275862069,0.0,0.22614430312017286,2024-11-04 08:12:19,0.03225806451612903,0.0,0.05516613269654691,Young,High,2,0,0
0.8310919295046688,2023-10-30 16:52:49,1.0,2.0,1.0,0.016129032258064557,3.0,0.5103448275862069,0.0,0.06923627084966197,2024-11-04 08:07:35,0.1935483870967742,0.0,0.17320013044538196,Young,High,2,0,0
0.814744286349848,2023-12-14 18:32:14,1.0,8.0,2.0,0.33870967741935487,1.0,0.7724137931034483,0.0,0.3366812890458528,2024-11-04 08:11:51,0.16129032258064516,0.0,0.04942677112681304,Middle-aged,High,0,0,0
0.37501451869303304,2023-02-21 16:56:50,1.0,0.0,1.0,0.6612903225806451,2.0,0.3310344827586207,0.0,0.5274757776233234,2024-11-04 08:12:01,0.25806451612903225,0.0,0.8625689748711448,Middle-aged,Very Low,0,4,0
0.5528973320501774,2023-06-08 18:18:50,1.0,8.0,2.0,0.0,3.0,0.5482758620689655,0.0,0.4347283074114356,2024-11-04 08:09:20,0.1935483870967742,0.0,0.5685334306979665,Young,Medium,2,2,0
0.5278398500353826,2023-02-28 16:36:58,1.0,20.0,1.0,0.8548387096774193,2.0,0.09655172413793102,0.0,0.3797633083592239,2024-11-04 08:09:24,0.1935483870967742,0.0,0.84337647171054,Old,Low,1,1,2
0.5774504278140355,2023-08-11 18:31:31,1.0,19.0,1.0,0.32258064516129037,0.0,0.2862068965517241,0.0,0.607992073532239,2024-11-04 08:08:13,0.25806451612903225,0.0,0.3927319899561251,Young,Medium,2,2,2
0.5107017846542571,2023-06-06 18:54:15,1.0,1.0,2.0,0.33870967741935487,1.0,0.3793103448275862,0.0,0.5964801428269905,2024-11-04 08:07:01,0.22580645161290322,0.0,0.5739544350937112,Middle-aged,Low,0,1,0
0.7665072864279561,2023-05-02 18:25:46,1.0,13.0,2.0,0.06451612903225812,3.0,0.4551724137931034,0.0,0.0874687599568185,2024-11-04 08:07:04,0.25806451612903225,0.0,0.6701358750961627,Young,High,2,0,2
0.648952082534507,2023-03-02 16:43:56,1.0,33.0,2.0,0.04838709677419356,3.0,0.296551724137931,0.0,0.12299132740103008,2024-11-04 08:07:09,0.25806451612903225,0.0,0.8378659204192257,Young,Medium,2,2,1
0.2603043392788695,2023-10-20 17:53:13,1.0,15.0,2.0,0.7580645161290323,2.0,0.9172413793103449,0.0,0.23751305729615496,2024-11-04 08:09:44,0.22580645161290322,0.0,0.20055389380068778,Old,Very Low,1,4,2
0.7207007728899322,2023-04-17 16:37:01,1.0,24.0,0.0,0.08064516129032262,3.0,0.5103448275862069,0.0,0.03845600581847905,2024-11-04 08:11:38,0.16129032258064516,0.0,0.7115492957567392,Young,High,2,0,3
0.4762208384929374,2023-03-29 16:42:38,1.0,25.0,1.0,0.30645161290322587,1.0,0.29310344827586204,0.0,0.1737793360642184,2024-11-04 08:11:59,0.12903225806451613,0.0,0.7637224895613656,Young,Low,2,1,3
0.6309744270366039,2023-01-24 16:18:32,1.0,19.0,2.0,0.4193548387096775,0.0,0.6448275862068966,0.0,0.11231022387969408,2024-11-04 08:11:22,0.16129032258064516,0.0,0.9395423991517425,Middle-aged,Medium,0,2,2
0.5205217646343496,2023-09-20 16:55:42,1.0,11.0,1.0,0.14516129032258068,3.0,0.9413793103448276,0.0,0.08405336115304833,2024-11-04 08:08:30,0.06451612903225806,0.0,0.28305582961257036,Young,Low,2,1,2
0.4293636042667858,2023-07-17 17:49:22,1.0,24.0,2.0,0.6612903225806451,0.0,0.034482758620689655,0.0,0.5534290442664186,2024-11-04 08:09:17,0.16129032258064516,0.0,0.46147657267887665,Middle-aged,Low,0,1,3
0.5273866985798573,2023-02-06 16:24:24,1.0,3.0,0.0,0.1774193548387097,0.0,0.8517241379310345,0.0,0.6535296039320443,2024-11-04 08:06:58,0.1935483870967742,0.0,0.9038184964214778,Young,Low,2,1,0
0.7850916878036275,2023-09-25 16:26:00,1.0,27.0,0.0,0.5,1.0,0.5448275862068966,0.0,0.6445565359077325,2024-11-04 08:11:13,0.0967741935483871,0.0,0.2693852260718982,Middle-aged,High,0,0,3
